Date,Symbol,Action,Entry,Exit,Result,Capital
2025-04-25 14:33:23,TCS,EXIT-SL,3456.4,3450,LOSS,-6.4,8850.0,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-28 10:04:06,RELIANCE,EXIT-TARGET,1337.5,1349.7,WIN,12.2,9134.2,Target Hit,VWAP Reversal (VWAP Strategy)
2025-04-28 11:20:14,ICICIBANK,EXIT-SL,1421,1424.7,LOSS,3.7,9208.2,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-28 14:38:30,HDFCBANK,EXIT-SL,1922.7,1918.3,LOSS,-4.4,9142.2,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-29 09:31:26,RELIANCE,EXIT-SL,1387.4,1383.1,LOSS,-4.3,8957.0,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-29 09:39:27,HDFCBANK,EXIT-SL,1925.6,1918.5,LOSS,-7.1,8850.5,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-29 09:39:27,ICICIBANK,EXIT-SL,1435.9,1429.5,LOSS,-6.4,8722.5,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-30 09:30:53,HDFCBANK,FORCED-EXIT,1926,1927.1,WIN,1.1,9016.5,Crash Exit,VWAP Reversal (VWAP Strategy)
2025-04-30 10:29:04,HDFCBANK,EXIT-SL,1931.4,1924.1,LOSS,-7.3,8890.5,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
2025-04-30 10:32:05,RELIANCE,EXIT-SL,1399,1397.3,LOSS,-1.7,8873.5,Stop Loss Hit,VWAP Reversal (VWAP Strategy)
